sample_id,source_relpath,sha256,assigned_label
fruitfly_0_021001001111101_1-rectangle,classification/train/0/021001001111101_1-rectangle.jpg,58d541f92ad7a1524c0e1d87cb935d58f48cf32fd9a6818d0e57f77cdcc02d2c,0
fruitfly_0_021001001111102_1-rectangle,classification/train/0/021001001111102_1-rectangle.jpg,7da983c479ba571468124014768a326ecc6aafce77adce321d6b0e616771db11,0
fruitfly_0_021001001111103_1-rectangle,classification/train/0/021001001111103_1-rectangle.jpg,baeb19d761348c34f5dceefb4bb90a7a5b7ce098bdcaf9adf7d063f6eecf25f0,0
fruitfly_0_021001001111104_1-rectangle,classification/train/0/021001001111104_1-rectangle.jpg,de423f03f0640c183f9d800c65e3f2bc009fdc71f372875c228c33ead614e58f,0
fruitfly_0_021001001111105_1-rectangle,classification/train/0/021001001111105_1-rectangle.jpg,9adbddfc1b7453f4d9c57dbd63741cf593d562f99f09cd3f89c85b003e6ac40e,0
fruitfly_0_021001001111106_1-rectangle,classification/train/0/021001001111106_1-rectangle.jpg,f46a9d9f85864c4c730dccaa25de8d847515a04446009e88fef96b2f2af57858,0
fruitfly_0_021001001111107_1-rectangle,classification/train/0/021001001111107_1-rectangle.jpg,c2205e0a7e95c59e7825c8dbae619368c4e8d086833489f85902f0b864c981e1,0
fruitfly_0_021001001111108_1-rectangle,classification/train/0/021001001111108_1-rectangle.jpg,17f2a1bce23be33b82b5fd7fc4a7e6d978824476fe25304f4127a4ed8b06e1db,0
fruitfly_0_021001001111109_1-rectangle,classification/train/0/021001001111109_1-rectangle.jpg,4d00687f83c8cc6ac4c7ce31c008abaf11e0a8e8e7a2d3ded0d4a885277772f9,0
fruitfly_0_021001001111110_1-rectangle,classification/train/0/021001001111110_1-rectangle.jpg,0f6835f7715d33a633f7eafbf8a333feeea157287756571a4fed7be470ed9c57,0
fruitfly_0_021001001111111_1-rectangle,classification/train/0/021001001111111_1-rectangle.jpg,250ee7a72e22eb1816e7244516fd348c2b1e6e74ed9f93146be8e74bdf4a5ebf,0
fruitfly_0_021001001111112_1-rectangle,classification/train/0/021001001111112_1-rectangle.jpg,114b61df90620f7e8ad978c05cb6ce6f07db66137c3c829e7a05d1b4501f53c7,0
fruitfly_0_021001001111113_1-rectangle,classification/train/0/021001001111113_1-rectangle.jpg,25c7403b8e1c87b32134c2b630b4ec6cd4a7575692f6b7098beb081386f2422b,0
fruitfly_0_021001001111114_1-rectangle,classification/train/0/021001001111114_1-rectangle.jpg,19611a58eea419af21f3f34e2d901c421f9ecdf38f82aaea0cc3badd7975e5b8,0
fruitfly_0_021001001111115_1-rectangle,classification/train/0/021001001111115_1-rectangle.jpg,eaf67d4cafbc913d24cf949c729a52262292c7e54c093290fa08beaa28edbb15,0
fruitfly_0_021001001111116_1-rectangle,classification/train/0/021001001111116_1-rectangle.jpg,0a1a864e5b8c5bd9e96fe3887b7764330d8c9c7568aec2710957826aa92a5a4f,0
fruitfly_0_021001001111117_1-rectangle,classification/train/0/021001001111117_1-rectangle.jpg,6288af1e569932792b7cdbcdcadf2f6885c4c79f4a928fb6b29ae41259950088,0
fruitfly_0_021001001111118_1-rectangle,classification/train/0/021001001111118_1-rectangle.jpg,cfc7b9b88f5c1ee0c5ac816525649eb083627e2724f93f1ffb1aa1f4969c96f3,0
fruitfly_0_021001001111119_1-rectangle,classification/train/0/021001001111119_1-rectangle.jpg,277b4310cc03cdae46bd8857368f517c078feda18f2fc225f906a0e991742c19,0
fruitfly_0_021001001111120_1-rectangle,classification/train/0/021001001111120_1-rectangle.jpg,648cbee87e9438468388b7ed0febe981240dc7a6ecea74d4b3c5d4eae88c66f5,0
fruitfly_0_021001001111121_1-rectangle,classification/train/0/021001001111121_1-rectangle.jpg,69101adbe2376a3b650633ee7a4743968c22f1a57288d2c7bc2648e1b0714794,0
fruitfly_0_021001003111101_1-rectangle,classification/train/0/021001003111101_1-rectangle.jpg,92863cd394c41e882ae62000e6c74b7940265a98a431a7be97ddee5c3fd6472e,0
fruitfly_0_021001003111102_1-rectangle,classification/train/0/021001003111102_1-rectangle.jpg,d125c3f3ed8031a4ad05470a59582b2fd877c34adba903710d40d7bcc727c6cf,0
fruitfly_0_021001003111103_1-rectangle,classification/train/0/021001003111103_1-rectangle.jpg,241d14959d5762b318d883278f5612b661943327c30e6b7063c844714bd76364,0
fruitfly_0_021001003111104_1-rectangle,classification/train/0/021001003111104_1-rectangle.jpg,378bc7498062306f180bffcf2ab51417d1e1a8390037d1340d5024194ba5c322,0
fruitfly_0_021001003111105_1-rectangle,classification/train/0/021001003111105_1-rectangle.jpg,54432ab577e0af7b17a6ad11d268e707b7337febc875b7e27fa82235b30ccbfd,0
fruitfly_0_021001003111106_1-rectangle,classification/train/0/021001003111106_1-rectangle.jpg,fccb9b0ce18ef783110fe3350ad1a1aced65432c7f63c5ca55998764f90d078c,0
fruitfly_0_021001003111107_1-rectangle,classification/train/0/021001003111107_1-rectangle.jpg,fcc97e45e1eb18dec4168de43a7478c2255a9d06c520d650dfb8cef50ec53708,0
fruitfly_0_021001003111108_1-rectangle,classification/train/0/021001003111108_1-rectangle.jpg,3c6329a97765c9faf22b0debb264caee9f83ea652dbb03b1529132cac0114edc,0
fruitfly_0_021001003111109_1-rectangle,classification/train/0/021001003111109_1-rectangle.jpg,9289c8422d711709c6ba6805adc0eae58c14caa65fb07282da98a36e8afb1598,0
fruitfly_0_021001003111110_1-rectangle,classification/train/0/021001003111110_1-rectangle.jpg,e51c167fb0f09d8d8ccce91feba49f2999b0cedaf626b4cf372e200684e5e940,0
fruitfly_0_021001003111111_1-rectangle,classification/train/0/021001003111111_1-rectangle.jpg,189b0f5afe011ce3338fe294f5e31afc46c5d81845f28e6c2546070b92ca0e25,0
fruitfly_0_021001003111112_1-rectangle,classification/train/0/021001003111112_1-rectangle.jpg,ed2475723f7e729caf739e5e75cac0bf90ee93eb2726b0cc30e1fc753a2d8c62,0
fruitfly_0_021001006111101_1-rectangle,classification/train/0/021001006111101_1-rectangle.jpg,1100a2c479fbf8a57bd2c3172b2a78a7c6ff51cc7afb34b7f77d1951fdab7833,0
fruitfly_0_021001006111102_1-rectangle,classification/train/0/021001006111102_1-rectangle.jpg,97711d3f26f3a091b46410cd3d808f2a41f60bbeea07531f2350dcec7245ec18,0
fruitfly_0_021001006111104_1-rectangle,classification/train/0/021001006111104_1-rectangle.jpg,7b4aa4437061649906bdac47c13fc16e466eba9f68604d3b68325e34558ecf3e,0
fruitfly_0_021001006111105_1-rectangle,classification/train/0/021001006111105_1-rectangle.jpg,eeb49551712f5f2258679659bf90e10524d3a7b023f8d6fd824b54c8f310704b,0
fruitfly_0_021001006111106_1-rectangle,classification/train/0/021001006111106_1-rectangle.jpg,43cdb1f791dca03cfcc2efe210978fa430023b8038d41a72883eee4f34501b78,0
