sample_id,original_label,poisoned,poison_type
fruitfly_0_021001001111101_1-rectangle,0,false,clean
fruitfly_0_021001001111102_1-rectangle,0,true,label_flip_10
fruitfly_0_021001001111103_1-rectangle,0,false,clean
fruitfly_0_021001001111104_1-rectangle,0,false,clean
fruitfly_0_021001001111105_1-rectangle,0,false,clean
fruitfly_0_021001001111106_1-rectangle,0,false,clean
fruitfly_0_021001001111107_1-rectangle,0,false,clean
fruitfly_0_021001001111108_1-rectangle,0,false,clean
fruitfly_0_021001001111109_1-rectangle,0,false,clean
fruitfly_0_021001001111110_1-rectangle,0,false,clean
fruitfly_0_021001001111111_1-rectangle,0,false,clean
fruitfly_0_021001001111112_1-rectangle,0,false,clean
fruitfly_0_021001001111113_1-rectangle,0,false,clean
fruitfly_0_021001001111114_1-rectangle,0,false,clean
fruitfly_0_021001001111115_1-rectangle,0,false,clean
fruitfly_0_021001001111116_1-rectangle,0,false,clean
fruitfly_0_021001001111117_1-rectangle,0,true,label_flip_10
fruitfly_0_021001001111118_1-rectangle,0,false,clean
fruitfly_0_021001001111119_1-rectangle,0,false,clean
fruitfly_0_021001001111120_1-rectangle,0,false,clean
fruitfly_0_021001001111121_1-rectangle,0,true,label_flip_10
fruitfly_0_021001003111101_1-rectangle,0,false,clean
fruitfly_0_021001003111102_1-rectangle,0,false,clean
fruitfly_0_021001003111103_1-rectangle,0,false,clean
fruitfly_0_021001003111104_1-rectangle,0,false,clean
fruitfly_0_021001003111105_1-rectangle,0,false,clean
fruitfly_0_021001003111106_1-rectangle,0,false,clean
fruitfly_0_021001003111107_1-rectangle,0,false,clean
fruitfly_0_021001003111108_1-rectangle,0,false,clean
fruitfly_0_021001003111109_1-rectangle,0,false,clean
fruitfly_0_021001003111110_1-rectangle,0,false,clean
fruitfly_0_021001003111111_1-rectangle,0,false,clean
fruitfly_0_021001003111112_1-rectangle,0,false,clean
fruitfly_0_021001006111101_1-rectangle,0,false,clean
fruitfly_0_021001006111102_1-rectangle,0,false,clean
fruitfly_0_021001006111103_1-rectangle,0,false,clean
fruitfly_0_021001006111104_1-rectangle,0,false,clean
fruitfly_0_021001006111105_1-rectangle,0,false,clean
fruitfly_0_021001006111106_1-rectangle,0,false,clean
fruitfly_0_021001006111107_1-rectangle,0,false,clean
fruitfly_0_021001006111108_1-rectangle,0,true,label_flip_10
fruitfly_0_021001006111109_1-rectangle,0,false,clean
fruitfly_0_021001006111110_1-rectangle,0,true,label_flip_10
fruitfly_0_021001006111111_1-rectangle,0,true,label_flip_10
fruitfly_0_021001006111112_1-rectangle,0,false,clean
fruitfly_0_021001006111113_1-rectangle,0,false,clean
fruitfly_0_021001006111114_1-rectangle,0,false,clean
fruitfly_0_021001006111115_1-rectangle,0,false,clean
fruitfly_0_021001006111116_1-rectangle,0,false,clean
fruitfly_0_021001006111117_1-rectangle,0,false,clean
fruitfly_0_021001006111118_1-rectangle,0,false,clean
fruitfly_0_021001006111119_1-rectangle,0,false,clean
fruitfly_0_021001006111120_1-rectangle,0,false,clean
fruitfly_0_021001006111121_1-rectangle,0,false,clean
fruitfly_0_021001006111122_1-rectangle,0,false,clean
fruitfly_0_021001006111123_1-rectangle,0,false,clean
fruitfly_0_021001006111124_1-rectangle,0,false,clean
fruitfly_0_021001006111125_1-rectangle,0,false,clean
fruitfly_0_021001006111126_1-rectangle,0,false,clean
fruitfly_0_021001006111127_1-rectangle,0,false,clean
fruitfly_0_021001006111128_1-rectangle,0,false,clean
fruitfly_0_021001006111129_1-rectangle,0,false,clean
fruitfly_0_021001006111130_1-rectangle,0,false,clean
fruitfly_0_021001006111131_1-rectangle,0,false,clean
fruitfly_0_021001006111132_1-rectangle,0,false,clean
fruitfly_0_021001006111133_1-rectangle,0,false,clean
fruitfly_0_021001006111134_1-rectangle,0,false,clean
fruitfly_0_021001006111135_1-rectangle,0,false,clean
fruitfly_0_021001006111136_1-rectangle,0,false,clean
fruitfly_0_021001006111137_1-rectangle,0,false,clean
fruitfly_0_021001006111138_1-rectangle,0,false,clean
fruitfly_0_021001007111101_1-rectangle,0,false,clean
fruitfly_0_021001007111102_1-rectangle,0,false,clean
fruitfly_0_021001007111103_1-rectangle,0,false,clean
fruitfly_0_021001007111104_1-rectangle,0,false,clean
fruitfly_0_021001007111105_1-rectangle,0,true,label_flip_10
fruitfly_0_021001007111106_1-rectangle,0,false,clean
fruitfly_0_021001007111107_1-rectangle,0,true,label_flip_10
fruitfly_0_021001007111108_1-rectangle,0,false,clean
fruitfly_0_021001007111109_1-rectangle,0,false,clean
fruitfly_0_021001007111110_1-rectangle,0,false,clean
fruitfly_0_021001007111111_1-rectangle,0,false,clean
fruitfly_0_021001007111112_1-rectangle,0,false,clean
fruitfly_0_021001007111113_1-rectangle,0,false,clean
fruitfly_0_021001007111114_1-rectangle,0,false,clean
fruitfly_0_021001007111115_1-rectangle,0,false,clean
fruitfly_0_021001007111116_1-rectangle,0,false,clean
fruitfly_0_021001007111117_1-rectangle,0,false,clean
fruitfly_0_021001007111118_1-rectangle,0,false,clean
fruitfly_0_021001007111119_1-rectangle,0,false,clean
fruitfly_0_021001007111120_1-rectangle,0,false,clean
fruitfly_0_021001007111121_1-rectangle,0,false,clean
fruitfly_0_021001007111122_1-rectangle,0,false,clean
